total_filings,year,month
221,2021,April
296,2021,August
280,2021,December
287,2021,February
382,2021,January
217,2021,July
235,2021,June
408,2021,March
269,2021,May
244,2021,November
267,2021,October
211,2021,September
363,2022,April
405,2022,August
548,2022,December
252,2022,February
321,2022,January
475,2022,July
359,2022,June
317,2022,March
462,2022,May
616,2022,November
708,2022,October
436,2022,September
824,2023,April
673,2023,August
518,2023,February
747,2023,January
599,2023,July
399,2023,June
495,2023,March
584,2023,May
685,2023,October
552,2023,September
